,Individual,Gene,TotalNormalizedReads
0,SRR10507653,KpsC,0.7571316596599366
1,SRR10507653,KpsD,1.9635999249991127
2,SRR10507653,KpsF,64.53255605728336
3,SRR10507653,KpsU,109.63734288316928
4,SRR10507653,Lic3A,16.336662917929306
5,SRR10507653,NagA,89.90307702622717
6,SRR10507653,NagB,284.3859991729028
7,SRR10507653,NanA,68.11366183154148
8,SRR10507653,NanB,3.140229795954045
9,SRR10507653,NanC,1.1630890801455058
10,SRR10507653,NanE,170.75621544436726
11,SRR10507653,NanK,10.082285780879186
12,SRR10507653,NanT,2.6477952718721856
13,SRR10507653,NeuA,25.983512348502323
14,SRR10507653,NeuB,141.87259298801166
15,SRR10507653,NeuC,57.44704301068766
16,SRR10507653,NeuD,1.867624055114621
17,SRR10507653,NeuO,14.91306812448861
18,SRR10507653,SOAT,55.73344292063332
19,SRR10507653,SatA,12.121398918222663
20,SRR10507653,SatB,295.9284530774505
21,SRR10507653,SatC,133.69569477360724
22,SRR10507653,SatD,2811.913706844645
23,SRR10507653,SiaM,70.78926209343591
24,SRR10507653,SiaP,5.251625979142818
25,SRR10507653,SiaT,122.94901672495808
27,SRR10507658,KpsC,54.45743796064397
28,SRR10507658,KpsD,55.600326732199925
29,SRR10507658,KpsE,52.48406392794641
30,SRR10507658,KpsF,322.35811195638144
31,SRR10507658,KpsS,47.26440217357201
32,SRR10507658,KpsU,280.2423350099832
33,SRR10507658,NagA,383.28032691926165
34,SRR10507658,NagB,190.901724780331
35,SRR10507658,NanA,84.8546983908972
36,SRR10507658,NanB,2.39912730323832
37,SRR10507658,NanC,47.13250947706384
38,SRR10507658,NanE,306.7752123469923
39,SRR10507658,NanK,57.28619649234465
40,SRR10507658,NanT,58.73177888539318
41,SRR10507658,NeuA,14.246419893409396
42,SRR10507658,NeuB,99.26021169088024
43,SRR10507658,NeuC,3.7105829324344666
44,SRR10507658,NeuD,1.418657149696111
45,SRR10507658,NeuO,148.89535778497884
46,SRR10507658,NeuS,0.991978711228058
47,SRR10507658,SOAT,219.65655858119533
48,SRR10507658,SatA,2.452952212275225
49,SRR10507658,SatB,370.21951802783263
50,SRR10507658,SatC,307.78546598086444
51,SRR10507658,SatD,2014.4291236725871
52,SRR10507658,SiaM,82.27686799570427
53,SRR10507658,SiaP,3.725478949344027
54,SRR10507658,SiaT,376.64417059938864
56,SRR10507662,KpsC,25.1503481548018
57,SRR10507662,KpsD,66.38936713917485
58,SRR10507662,KpsE,23.13308062083491
59,SRR10507662,KpsF,283.95054061897264
60,SRR10507662,KpsS,21.532301479352256
61,SRR10507662,KpsU,313.6553677735977
62,SRR10507662,Lic3A,5.489688616761334
63,SRR10507662,NagA,260.40022081423194
64,SRR10507662,NagB,242.78824436178533
65,SRR10507662,NanA,198.63567035450652
66,SRR10507662,NanB,4.560675380300058
67,SRR10507662,NanC,33.59378591093498
68,SRR10507662,NanE,227.25904528079943
69,SRR10507662,NanK,45.56198903925764
70,SRR10507662,NanT,38.62034209357795
71,SRR10507662,NeuA,21.793244449256
72,SRR10507662,NeuB,221.0672800888624
73,SRR10507662,NeuC,11.619239387804948
74,SRR10507662,NeuD,8.345167515658177
75,SRR10507662,NeuO,93.04435626191616
76,SRR10507662,SOAT,373.8716379294916
77,SRR10507662,SatA,8.80433635794244
78,SRR10507662,SatB,476.1388262307714
79,SRR10507662,SatC,372.7759893318674
80,SRR10507662,SatD,2382.585190883937
81,SRR10507662,SiaM,139.6248425780942
82,SRR10507662,SiaP,25.292212604272844
83,SRR10507662,SiaT,397.20193478364496
85,SRR10507665,KpsD,3.272778139895138
86,SRR10507665,KpsF,203.71467461434733
87,SRR10507665,KpsU,162.90376293293488
88,SRR10507665,Lic3A,2.4460902360461927
89,SRR10507665,NagA,203.28379010901145
90,SRR10507665,NagB,216.03620405742976
91,SRR10507665,NanA,70.26539170464726
92,SRR10507665,NanB,14.172166978584984
93,SRR10507665,NanC,2.8975536594354714
94,SRR10507665,NanE,268.31167066997466
95,SRR10507665,NanK,9.519629832655522
96,SRR10507665,NanT,4.329464877884576
97,SRR10507665,NeuA,48.06400390704007
98,SRR10507665,NeuB,129.4573109898524
99,SRR10507665,NeuC,46.48745607252592
100,SRR10507665,NeuD,3.345484659927912
101,SRR10507665,NeuO,115.44709670908424
102,SRR10507665,SOAT,370.1479570382466
103,SRR10507665,SatA,5.822958494242799
104,SRR10507665,SatB,356.37376011557586
105,SRR10507665,SatC,270.75192761512744
106,SRR10507665,SatD,2174.99640349688
107,SRR10507665,SiaM,163.5965355553054
108,SRR10507665,SiaP,8.892682061181345
109,SRR10507665,SiaT,269.68787621514537
111,SRR10507654,KpsC,1.6344747743988706
112,SRR10507654,KpsD,4.901065363475663
113,SRR10507654,KpsE,0.4810582719880241
114,SRR10507654,KpsF,150.37540216812795
115,SRR10507654,KpsS,0.837336923938199
116,SRR10507654,KpsU,150.01678526359956
117,SRR10507654,Lic3A,3.959308315843797
118,SRR10507654,NagA,112.6415450855016
119,SRR10507654,NagB,289.319113801256
120,SRR10507654,NanA,26.023871598257077
121,SRR10507654,NanB,2.778910305996158
122,SRR10507654,NanC,0.4878914860787631
123,SRR10507654,NanE,204.56127853739173
124,SRR10507654,NanK,6.760191297454367
125,SRR10507654,NanT,2.145094468579269
126,SRR10507654,NeuA,17.177760115351802
127,SRR10507654,NeuB,49.97590045197768
128,SRR10507654,NeuC,10.927819624252756
129,SRR10507654,NeuO,122.26610281237352
130,SRR10507654,SOAT,143.16863722828913
131,SRR10507654,SatA,6.963524126870075
132,SRR10507654,SatB,263.3380203515789
133,SRR10507654,SatC,96.98692887675526
134,SRR10507654,SatD,2525.5378704806712
135,SRR10507654,SiaM,91.36753948182718
136,SRR10507654,SiaP,6.939275774709159
137,SRR10507654,SiaT,203.68044891376636
139,SRR10507660,KpsD,7.131639816867988
140,SRR10507660,KpsE,1.2131284505174813
141,SRR10507660,KpsF,197.48778678933235
142,SRR10507660,KpsU,167.912854590308
143,SRR10507660,NagA,194.89663348572915
144,SRR10507660,NagB,204.3983935470152
145,SRR10507660,NanA,56.39839211342344
146,SRR10507660,NanB,6.358162663091069
147,SRR10507660,NanC,3.722290922089901
148,SRR10507660,NanE,253.60416617972535
149,SRR10507660,NanK,5.26170756152279
150,SRR10507660,NanT,2.9019616410769173
151,SRR10507660,NeuA,49.01831858739378
152,SRR10507660,NeuB,144.0764514845215
153,SRR10507660,NeuC,39.48730599819827
154,SRR10507660,NeuD,2.3442095662173554
155,SRR10507660,NeuO,113.0992471335388
156,SRR10507660,SOAT,362.8391196281578
157,SRR10507660,SatA,6.039424363947858
158,SRR10507660,SatB,305.5340557096693
159,SRR10507660,SatC,210.35485611693943
160,SRR10507660,SatD,1874.1596584835404
161,SRR10507660,SiaM,94.7592296619691
162,SRR10507660,SiaP,4.156664441092191
163,SRR10507660,SiaT,237.97369771745005
165,SRR10507656,KpsC,1.985610359881576
166,SRR10507656,KpsD,6.902534788740538
167,SRR10507656,KpsF,140.46654988075207
168,SRR10507656,KpsS,2.534175090660961
169,SRR10507656,KpsU,146.70993693032128
170,SRR10507656,Lic3A,4.902321600885561
171,SRR10507656,NagA,194.61518675505584
172,SRR10507656,NagB,262.36530666730454
173,SRR10507656,NanA,97.14310999493108
174,SRR10507656,NanB,14.251175613979132
175,SRR10507656,NanC,1.216570301092642
176,SRR10507656,NanE,205.5829818291688
177,SRR10507656,NanK,23.572779291151853
178,SRR10507656,NanT,20.00772637551826
179,SRR10507656,NeuA,33.43287419707964
180,SRR10507656,NeuB,115.26919252723056
181,SRR10507656,NeuC,25.13638100471857
182,SRR10507656,NeuO,38.38621113139408
183,SRR10507656,SOAT,224.8040599181465
184,SRR10507656,SatA,15.231814068378016
185,SRR10507656,SatB,316.6079372803369
186,SRR10507656,SatC,218.5091310007124
187,SRR10507656,SatD,2459.386459552012
188,SRR10507656,SiaM,75.87817823776331
189,SRR10507656,SiaP,5.1433685633239135
190,SRR10507656,SiaQ,0.4002908732627402
191,SRR10507656,SiaT,239.81366529061805
193,SRR10507666,KpsC,11.674303067974956
194,SRR10507666,KpsD,34.329051959263545
195,SRR10507666,KpsE,9.693112448272537
196,SRR10507666,KpsF,211.558563505
197,SRR10507666,KpsS,9.115946175456529
198,SRR10507666,KpsU,188.30407835837107
199,SRR10507666,Lic3A,9.19480726928557
200,SRR10507666,NagA,245.8933185732317
201,SRR10507666,NagB,167.78358723122602
202,SRR10507666,NanA,148.26476136388882
203,SRR10507666,NanC,8.910213910949604
204,SRR10507666,NanE,205.47301507577745
205,SRR10507666,NanK,16.033504072962316
206,SRR10507666,NanT,13.15245831740076
207,SRR10507666,NeuA,73.63771765157763
208,SRR10507666,NeuB,351.20060410806246
209,SRR10507666,NeuC,89.61526786586316
210,SRR10507666,NeuO,52.42903200693352
211,SRR10507666,SOAT,404.1368057766624
212,SRR10507666,SatA,3.203033961851028
213,SRR10507666,SatB,276.87001025233445
214,SRR10507666,SatC,208.26832695048927
215,SRR10507666,SatD,1530.180074446458
216,SRR10507666,SiaM,98.27848135302904
217,SRR10507666,SiaT,196.7175391428869
219,SRR10507657,KpsC,1.033716382236464
220,SRR10507657,KpsD,21.643457534647723
221,SRR10507657,KpsE,0.4806180404848951
222,SRR10507657,KpsF,154.79236653338597
223,SRR10507657,KpsS,0.4002524009284045
224,SRR10507657,KpsU,121.09320289786896
225,SRR10507657,Lic3A,4.744454266399917
226,SRR10507657,NagA,152.74126491553233
227,SRR10507657,NagB,303.38818498712186
228,SRR10507657,NanA,78.87384702845884
229,SRR10507657,NanB,9.93020593519122
230,SRR10507657,NanE,197.99402259019888
231,SRR10507657,NanK,3.3171243431615123
232,SRR10507657,NanT,1.564522715449832
233,SRR10507657,NeuA,53.45842898931285
234,SRR10507657,NeuB,178.395878261817
235,SRR10507657,NeuC,59.48817406226209
236,SRR10507657,NeuD,7.126024803132024
237,SRR10507657,NeuO,115.91614303689256
238,SRR10507657,SOAT,249.7338820904811
239,SRR10507657,SatA,3.13534557131867
240,SRR10507657,SatB,519.0028207249253
241,SRR10507657,SatC,353.51714368307057
242,SRR10507657,SatD,2644.020291409386
243,SRR10507657,SiaM,161.39082111179525
244,SRR10507657,SiaP,1.9181637400235865
245,SRR10507657,SiaT,349.8715118805393
247,SRR10507661,KpsF,3.0895427069870496
