Individual,Gene,TotalNormalizedReads
SRR6468626,KpsC,0.0
SRR6468537,NanE,204.51
SRR6468591,NeuC,0.0
SRR6468521,NagA,0.0
SRR6468528,KpsE,0.0
SRR6468639,NanC,0.0
SRR6468674,Lic3B,0.0
SRR6468569,NeuC,36.9
SRR6468596,NanA,13.52
SRR6468627,NeuB,33.51
SRR6468644,NeuS,0.0
SRR6468529,NeuD,8.290000000000001
SRR6468609,SiaT,272.32
SRR6468605,KpsU,119.66
SRR6468666,KpsD,6.65
SRR6468650,SiaP,8.53
SRR6468538,NagB,272.89
SRR6468531,KpsF,14.42
SRR6468594,Lic3B,0.0
SRR6468603,Lst,0.0
SRR6468529,Lic3B,0.0
SRR6468551,SatA,0.0
SRR6468606,SatC,620.14
SRR6468548,SatB,335.21
SRR6468646,SatD,2917.48
SRR6468646,NeuO,84.5
SRR6468632,SOAT,293.47
SRR6468530,SatC,782.28
SRR6468667,SatA,0.0
SRR6468570,SatD,1505.95
SRR6468570,NeuO,129.01999999999998
SRR6468681,NanK,60.06
SRR6468686,SatB,173.38
SRR6468679,NanK,27.7
SRR6468504,SOAT,188.53
SRR6468701,SOAT,305.64
SRR6468588,NeuO,199.29
SRR6468588,SatD,2462.87
SRR6468617,NagA,55.05
SRR6468628,SiaQ,0.0
SRR6468658,NanA,15.89
SRR6468601,NanE,142.81
SRR6468715,KpsC,3.47
SRR6468510,KpsC,0.0
SRR6468508,NeuA,14.74
SRR6468626,Lic3A,0.0
SRR6468572,NeuS,0.0
SRR6468511,NeuB,79.01
SRR6468714,NeuB,38.52
SRR6468607,KpsF,43.72
SRR6468566,SiaP,6.23
SRR6468550,KpsD,0.0
SRR6468533,KpsU,66.04
SRR6468553,SatC,1114.63
SRR6468604,SatA,17.61
SRR6468567,SOAT,121.64
SRR6468716,NeuO,122.92
SRR6468513,NeuO,222.62
SRR6468513,SatD,1789.33
SRR6468716,SatD,1701.34
SRR6468661,Lic3B,14.41
SRR6468685,KpsE,0.0
SRR6468594,NanC,0.0
SRR6468593,NeuA,14.840000000000002
SRR6468674,NagA,12.97
SRR6468573,KpsC,0.0
SRR6468662,NanE,325.57
SRR6468581,Lic3B,0.0
SRR6468664,KpsF,310.84
SRR6468684,NeuD,0.0
SRR6468550,KpsU,36.73
SRR6468533,KpsD,0.0
SRR6468700,SiaP,0.0
SRR6468505,SiaP,0.0
SRR6468572,NeuB,5.76
SRR6468511,NeuS,0.0
SRR6468714,NeuS,0.0
SRR6468695,NagB,273.75
SRR6468499,KpsF,65.51
SRR6468585,SiaQ,0.0
SRR6468708,NanA,11.98
SRR6468554,NanE,132.87
SRR6468645,KpsC,0.0
SRR6468542,NagA,23.27
